"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2017 07:00:00 - 03/01/2017 08:00:00","BZN|NL","Without sequence","43.72","",""
"03/01/2017 08:00:00 - 03/01/2017 09:00:00","BZN|NL","Without sequence","54.12","",""
"03/01/2017 09:00:00 - 03/01/2017 10:00:00","BZN|NL","Without sequence","54.94","",""
"03/01/2017 10:00:00 - 03/01/2017 11:00:00","BZN|NL","Without sequence","52.27","",""
"03/01/2017 11:00:00 - 03/01/2017 12:00:00","BZN|NL","Without sequence","49.94","",""
"03/01/2017 12:00:00 - 03/01/2017 13:00:00","BZN|NL","Without sequence","46.3","",""
"03/01/2017 13:00:00 - 03/01/2017 14:00:00","BZN|NL","Without sequence","41.51","",""
"03/01/2017 14:00:00 - 03/01/2017 15:00:00","BZN|NL","Without sequence","40.9","",""
"03/01/2017 15:00:00 - 03/01/2017 16:00:00","BZN|NL","Without sequence","40.9","",""
"03/01/2017 16:00:00 - 03/01/2017 17:00:00","BZN|NL","Without sequence","40.9","",""
"03/01/2017 17:00:00 - 03/01/2017 18:00:00","BZN|NL","Without sequence","45.0","",""
"03/01/2017 18:00:00 - 03/01/2017 19:00:00","BZN|NL","Without sequence","36.67","",""
"03/01/2017 19:00:00 - 03/01/2017 20:00:00","BZN|NL","Without sequence","40.0","",""
"03/01/2017 20:00:00 - 03/01/2017 21:00:00","BZN|NL","Without sequence","40.9","",""
"03/01/2017 21:00:00 - 03/01/2017 22:00:00","BZN|NL","Without sequence","40.9","",""
"03/01/2017 22:00:00 - 03/01/2017 23:00:00","BZN|NL","Without sequence","37.3","",""
"03/01/2017 23:00:00 - 04/01/2017 00:00:00","BZN|NL","Without sequence","32.22","",""
"04/01/2017 00:00:00 - 04/01/2017 01:00:00","BZN|NL","Without sequence","28.9","",""
"04/01/2017 01:00:00 - 04/01/2017 02:00:00","BZN|NL","Without sequence","28.88","",""
"04/01/2017 02:00:00 - 04/01/2017 03:00:00","BZN|NL","Without sequence","28.68","",""
"04/01/2017 03:00:00 - 04/01/2017 04:00:00","BZN|NL","Without sequence","28.67","",""
"04/01/2017 04:00:00 - 04/01/2017 05:00:00","BZN|NL","Without sequence","28.52","",""
"04/01/2017 05:00:00 - 04/01/2017 06:00:00","BZN|NL","Without sequence","28.79","",""
"04/01/2017 06:00:00 - 04/01/2017 07:00:00","BZN|NL","Without sequence","31.33","",""
"04/01/2017 07:00:00 - 04/01/2017 08:00:00","BZN|NL","Without sequence","32.6","",""
"04/01/2017 08:00:00 - 04/01/2017 09:00:00","BZN|NL","Without sequence","42.0","",""
"04/01/2017 09:00:00 - 04/01/2017 10:00:00","BZN|NL","Without sequence","44.0","",""
"04/01/2017 10:00:00 - 04/01/2017 11:00:00","BZN|NL","Without sequence","44.0","",""
"04/01/2017 11:00:00 - 04/01/2017 12:00:00","BZN|NL","Without sequence","44.0","",""
"04/01/2017 12:00:00 - 04/01/2017 13:00:00","BZN|NL","Without sequence","39.94","",""
"04/01/2017 13:00:00 - 04/01/2017 14:00:00","BZN|NL","Without sequence","39.9","",""
"04/01/2017 14:00:00 - 04/01/2017 15:00:00","BZN|NL","Without sequence","38.09","",""
"04/01/2017 15:00:00 - 04/01/2017 16:00:00","BZN|NL","Without sequence","39.94","",""
"04/01/2017 16:00:00 - 04/01/2017 17:00:00","BZN|NL","Without sequence","44.94","",""
"04/01/2017 17:00:00 - 04/01/2017 18:00:00","BZN|NL","Without sequence","66.01","",""
"04/01/2017 18:00:00 - 04/01/2017 19:00:00","BZN|NL","Without sequence","49.45","",""
"04/01/2017 19:00:00 - 04/01/2017 20:00:00","BZN|NL","Without sequence","48.37","",""
"04/01/2017 20:00:00 - 04/01/2017 21:00:00","BZN|NL","Without sequence","38.02","",""
"04/01/2017 21:00:00 - 04/01/2017 22:00:00","BZN|NL","Without sequence","34.55","",""
"04/01/2017 22:00:00 - 04/01/2017 23:00:00","BZN|NL","Without sequence","33.33","",""
"04/01/2017 23:00:00 - 05/01/2017 00:00:00","BZN|NL","Without sequence","32.05","",""
"05/01/2017 00:00:00 - 05/01/2017 01:00:00","BZN|NL","Without sequence","42.7","",""
"05/01/2017 01:00:00 - 05/01/2017 02:00:00","BZN|NL","Without sequence","36.32","",""
"05/01/2017 02:00:00 - 05/01/2017 03:00:00","BZN|NL","Without sequence","30.99","",""
