"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|NL","Without sequence","-3.61","",""
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|NL","Without sequence","-1.46","",""
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|NL","Without sequence","-1.52","",""
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|NL","Without sequence","-5.0","",""
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|NL","Without sequence","-4.6","",""
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|NL","Without sequence","-4.05","",""
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|NL","Without sequence","-3.6","",""
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|NL","Without sequence","0.0","",""
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|NL","Without sequence","0.0","",""
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|NL","Without sequence","0.0","",""
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|NL","Without sequence","0.99","",""
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|NL","Without sequence","0.58","",""
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|NL","Without sequence","0.04","",""
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|NL","Without sequence","0.0","",""
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|NL","Without sequence","0.85","",""
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|NL","Without sequence","23.53","",""
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|NL","Without sequence","36.54","",""
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|NL","Without sequence","46.03","",""
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|NL","Without sequence","99.9","",""
