"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2015 00:00:00 - 05/01/2015 01:00:00","BZN|NL","Without sequence","36.56","",""
"05/01/2015 01:00:00 - 05/01/2015 02:00:00","BZN|NL","Without sequence","34.94","",""
"05/01/2015 02:00:00 - 05/01/2015 03:00:00","BZN|NL","Without sequence","32.19","",""
"05/01/2015 03:00:00 - 05/01/2015 04:00:00","BZN|NL","Without sequence","28.05","",""
"05/01/2015 04:00:00 - 05/01/2015 05:00:00","BZN|NL","Without sequence","28.04","",""
"05/01/2015 05:00:00 - 05/01/2015 06:00:00","BZN|NL","Without sequence","34.26","",""
"05/01/2015 06:00:00 - 05/01/2015 07:00:00","BZN|NL","Without sequence","37.8","",""
"05/01/2015 07:00:00 - 05/01/2015 08:00:00","BZN|NL","Without sequence","50.38","",""
"05/01/2015 08:00:00 - 05/01/2015 09:00:00","BZN|NL","Without sequence","50.97","",""
"05/01/2015 09:00:00 - 05/01/2015 10:00:00","BZN|NL","Without sequence","41.51","",""
"05/01/2015 10:00:00 - 05/01/2015 11:00:00","BZN|NL","Without sequence","40.46","",""
"05/01/2015 11:00:00 - 05/01/2015 12:00:00","BZN|NL","Without sequence","42.0","",""
"05/01/2015 12:00:00 - 05/01/2015 13:00:00","BZN|NL","Without sequence","40.72","",""
"05/01/2015 13:00:00 - 05/01/2015 14:00:00","BZN|NL","Without sequence","41.92","",""
"05/01/2015 14:00:00 - 05/01/2015 15:00:00","BZN|NL","Without sequence","42.0","",""
"05/01/2015 15:00:00 - 05/01/2015 16:00:00","BZN|NL","Without sequence","43.1","",""
"05/01/2015 16:00:00 - 05/01/2015 17:00:00","BZN|NL","Without sequence","46.7","",""
"05/01/2015 17:00:00 - 05/01/2015 18:00:00","BZN|NL","Without sequence","56.78","",""
"05/01/2015 18:00:00 - 05/01/2015 19:00:00","BZN|NL","Without sequence","58.84","",""
"05/01/2015 19:00:00 - 05/01/2015 20:00:00","BZN|NL","Without sequence","49.23","",""
"05/01/2015 20:00:00 - 05/01/2015 21:00:00","BZN|NL","Without sequence","44.32","",""
"05/01/2015 21:00:00 - 05/01/2015 22:00:00","BZN|NL","Without sequence","40.0","",""
"05/01/2015 22:00:00 - 05/01/2015 23:00:00","BZN|NL","Without sequence","41.78","",""
"05/01/2015 23:00:00 - 06/01/2015 00:00:00","BZN|NL","Without sequence","38.6","",""
"06/01/2015 00:00:00 - 06/01/2015 01:00:00","BZN|NL","Without sequence","36.9","",""
"06/01/2015 01:00:00 - 06/01/2015 02:00:00","BZN|NL","Without sequence","35.04","",""
"06/01/2015 02:00:00 - 06/01/2015 03:00:00","BZN|NL","Without sequence","34.5","",""
"06/01/2015 03:00:00 - 06/01/2015 04:00:00","BZN|NL","Without sequence","33.47","",""
"06/01/2015 04:00:00 - 06/01/2015 05:00:00","BZN|NL","Without sequence","33.97","",""
"06/01/2015 05:00:00 - 06/01/2015 06:00:00","BZN|NL","Without sequence","36.02","",""
"06/01/2015 06:00:00 - 06/01/2015 07:00:00","BZN|NL","Without sequence","39.96","",""
"06/01/2015 07:00:00 - 06/01/2015 08:00:00","BZN|NL","Without sequence","42.66","",""
"06/01/2015 08:00:00 - 06/01/2015 09:00:00","BZN|NL","Without sequence","44.94","",""
"06/01/2015 09:00:00 - 06/01/2015 10:00:00","BZN|NL","Without sequence","50.87","",""
"06/01/2015 10:00:00 - 06/01/2015 11:00:00","BZN|NL","Without sequence","50.86","",""
"06/01/2015 11:00:00 - 06/01/2015 12:00:00","BZN|NL","Without sequence","50.17","",""
"06/01/2015 12:00:00 - 06/01/2015 13:00:00","BZN|NL","Without sequence","47.97","",""
"06/01/2015 13:00:00 - 06/01/2015 14:00:00","BZN|NL","Without sequence","45.2","",""
"06/01/2015 14:00:00 - 06/01/2015 15:00:00","BZN|NL","Without sequence","41.45","",""
"06/01/2015 15:00:00 - 06/01/2015 16:00:00","BZN|NL","Without sequence","40.08","",""
"06/01/2015 16:00:00 - 06/01/2015 17:00:00","BZN|NL","Without sequence","43.62","",""
"06/01/2015 17:00:00 - 06/01/2015 18:00:00","BZN|NL","Without sequence","48.55","",""
"06/01/2015 18:00:00 - 06/01/2015 19:00:00","BZN|NL","Without sequence","45.71","",""
"06/01/2015 19:00:00 - 06/01/2015 20:00:00","BZN|NL","Without sequence","39.94","",""
"06/01/2015 20:00:00 - 06/01/2015 21:00:00","BZN|NL","Without sequence","44.94","",""
"06/01/2015 21:00:00 - 06/01/2015 22:00:00","BZN|NL","Without sequence","42.51","",""
"06/01/2015 22:00:00 - 06/01/2015 23:00:00","BZN|NL","Without sequence","44.0","",""
"06/01/2015 23:00:00 - 07/01/2015 00:00:00","BZN|NL","Without sequence","39.94","",""
"07/01/2015 00:00:00 - 07/01/2015 01:00:00","BZN|NL","Without sequence","36.11","",""
"07/01/2015 01:00:00 - 07/01/2015 02:00:00","BZN|NL","Without sequence","34.31","",""
"07/01/2015 02:00:00 - 07/01/2015 03:00:00","BZN|NL","Without sequence","32.55","",""
"07/01/2015 03:00:00 - 07/01/2015 04:00:00","BZN|NL","Without sequence","32.08","",""
"07/01/2015 04:00:00 - 07/01/2015 05:00:00","BZN|NL","Without sequence","29.48","",""
"07/01/2015 05:00:00 - 07/01/2015 06:00:00","BZN|NL","Without sequence","34.94","",""
"07/01/2015 06:00:00 - 07/01/2015 07:00:00","BZN|NL","Without sequence","35.78","",""
"07/01/2015 07:00:00 - 07/01/2015 08:00:00","BZN|NL","Without sequence","45.98","",""
"07/01/2015 08:00:00 - 07/01/2015 09:00:00","BZN|NL","Without sequence","47.91","",""
"07/01/2015 09:00:00 - 07/01/2015 10:00:00","BZN|NL","Without sequence","48.91","",""
"07/01/2015 10:00:00 - 07/01/2015 11:00:00","BZN|NL","Without sequence","50.0","",""
"07/01/2015 11:00:00 - 07/01/2015 12:00:00","BZN|NL","Without sequence","51.22","",""
"07/01/2015 12:00:00 - 07/01/2015 13:00:00","BZN|NL","Without sequence","50.15","",""
"07/01/2015 13:00:00 - 07/01/2015 14:00:00","BZN|NL","Without sequence","51.46","",""
"07/01/2015 14:00:00 - 07/01/2015 15:00:00","BZN|NL","Without sequence","50.88","",""
"07/01/2015 15:00:00 - 07/01/2015 16:00:00","BZN|NL","Without sequence","48.0","",""
"07/01/2015 16:00:00 - 07/01/2015 17:00:00","BZN|NL","Without sequence","47.14","",""
"07/01/2015 17:00:00 - 07/01/2015 18:00:00","BZN|NL","Without sequence","51.07","",""
"07/01/2015 18:00:00 - 07/01/2015 19:00:00","BZN|NL","Without sequence","47.42","",""
"07/01/2015 19:00:00 - 07/01/2015 20:00:00","BZN|NL","Without sequence","44.83","",""
"07/01/2015 20:00:00 - 07/01/2015 21:00:00","BZN|NL","Without sequence","39.1","",""
"07/01/2015 21:00:00 - 07/01/2015 22:00:00","BZN|NL","Without sequence","42.0","",""
"07/01/2015 22:00:00 - 07/01/2015 23:00:00","BZN|NL","Without sequence","37.92","",""
"07/01/2015 23:00:00 - 08/01/2015 00:00:00","BZN|NL","Without sequence","33.51","",""
"08/01/2015 00:00:00 - 08/01/2015 01:00:00","BZN|NL","Without sequence","33.11","",""
"08/01/2015 01:00:00 - 08/01/2015 02:00:00","BZN|NL","Without sequence","32.32","",""
"08/01/2015 02:00:00 - 08/01/2015 03:00:00","BZN|NL","Without sequence","31.1","",""
"08/01/2015 03:00:00 - 08/01/2015 04:00:00","BZN|NL","Without sequence","30.17","",""
"08/01/2015 04:00:00 - 08/01/2015 05:00:00","BZN|NL","Without sequence","24.54","",""
"08/01/2015 05:00:00 - 08/01/2015 06:00:00","BZN|NL","Without sequence","32.0","",""
"08/01/2015 06:00:00 - 08/01/2015 07:00:00","BZN|NL","Without sequence","38.81","",""
"08/01/2015 07:00:00 - 08/01/2015 08:00:00","BZN|NL","Without sequence","42.44","",""
"08/01/2015 08:00:00 - 08/01/2015 09:00:00","BZN|NL","Without sequence","45.55","",""
"08/01/2015 09:00:00 - 08/01/2015 10:00:00","BZN|NL","Without sequence","48.75","",""
"08/01/2015 10:00:00 - 08/01/2015 11:00:00","BZN|NL","Without sequence","49.29","",""
"08/01/2015 11:00:00 - 08/01/2015 12:00:00","BZN|NL","Without sequence","49.33","",""
"08/01/2015 12:00:00 - 08/01/2015 13:00:00","BZN|NL","Without sequence","48.43","",""
"08/01/2015 13:00:00 - 08/01/2015 14:00:00","BZN|NL","Without sequence","47.21","",""
"08/01/2015 14:00:00 - 08/01/2015 15:00:00","BZN|NL","Without sequence","51.4","",""
"08/01/2015 15:00:00 - 08/01/2015 16:00:00","BZN|NL","Without sequence","40.5","",""
"08/01/2015 16:00:00 - 08/01/2015 17:00:00","BZN|NL","Without sequence","41.1","",""
"08/01/2015 17:00:00 - 08/01/2015 18:00:00","BZN|NL","Without sequence","54.5","",""
"08/01/2015 18:00:00 - 08/01/2015 19:00:00","BZN|NL","Without sequence","51.25","",""
"08/01/2015 19:00:00 - 08/01/2015 20:00:00","BZN|NL","Without sequence","50.31","",""
"08/01/2015 20:00:00 - 08/01/2015 21:00:00","BZN|NL","Without sequence","47.97","",""
"08/01/2015 21:00:00 - 08/01/2015 22:00:00","BZN|NL","Without sequence","40.5","",""
"08/01/2015 22:00:00 - 08/01/2015 23:00:00","BZN|NL","Without sequence","43.8","",""
"08/01/2015 23:00:00 - 09/01/2015 00:00:00","BZN|NL","Without sequence","44.05","",""
"09/01/2015 00:00:00 - 09/01/2015 01:00:00","BZN|NL","Without sequence","32.28","",""
"09/01/2015 01:00:00 - 09/01/2015 02:00:00","BZN|NL","Without sequence","29.71","",""
"09/01/2015 02:00:00 - 09/01/2015 03:00:00","BZN|NL","Without sequence","28.97","",""
"09/01/2015 03:00:00 - 09/01/2015 04:00:00","BZN|NL","Without sequence","25.12","",""
"09/01/2015 04:00:00 - 09/01/2015 05:00:00","BZN|NL","Without sequence","25.46","",""
"09/01/2015 05:00:00 - 09/01/2015 06:00:00","BZN|NL","Without sequence","25.84","",""
"09/01/2015 06:00:00 - 09/01/2015 07:00:00","BZN|NL","Without sequence","31.86","",""
"09/01/2015 07:00:00 - 09/01/2015 08:00:00","BZN|NL","Without sequence","44.0","",""
"09/01/2015 08:00:00 - 09/01/2015 09:00:00","BZN|NL","Without sequence","45.82","",""
"09/01/2015 09:00:00 - 09/01/2015 10:00:00","BZN|NL","Without sequence","47.16","",""
"09/01/2015 10:00:00 - 09/01/2015 11:00:00","BZN|NL","Without sequence","42.52","",""
"09/01/2015 11:00:00 - 09/01/2015 12:00:00","BZN|NL","Without sequence","43.0","",""
"09/01/2015 12:00:00 - 09/01/2015 13:00:00","BZN|NL","Without sequence","41.01","",""
"09/01/2015 13:00:00 - 09/01/2015 14:00:00","BZN|NL","Without sequence","40.0","",""
"09/01/2015 14:00:00 - 09/01/2015 15:00:00","BZN|NL","Without sequence","39.94","",""
"09/01/2015 15:00:00 - 09/01/2015 16:00:00","BZN|NL","Without sequence","39.96","",""
"09/01/2015 16:00:00 - 09/01/2015 17:00:00","BZN|NL","Without sequence","39.96","",""
"09/01/2015 17:00:00 - 09/01/2015 18:00:00","BZN|NL","Without sequence","52.44","",""
"09/01/2015 18:00:00 - 09/01/2015 19:00:00","BZN|NL","Without sequence","41.0","",""
"09/01/2015 19:00:00 - 09/01/2015 20:00:00","BZN|NL","Without sequence","38.95","",""
"09/01/2015 20:00:00 - 09/01/2015 21:00:00","BZN|NL","Without sequence","36.51","",""
"09/01/2015 21:00:00 - 09/01/2015 22:00:00","BZN|NL","Without sequence","34.6","",""
"09/01/2015 22:00:00 - 09/01/2015 23:00:00","BZN|NL","Without sequence","31.09","",""
"09/01/2015 23:00:00 - 10/01/2015 00:00:00","BZN|NL","Without sequence","29.46","",""
"10/01/2015 00:00:00 - 10/01/2015 01:00:00","BZN|NL","Without sequence","25.88","",""
"10/01/2015 01:00:00 - 10/01/2015 02:00:00","BZN|NL","Without sequence","25.78","",""
"10/01/2015 02:00:00 - 10/01/2015 03:00:00","BZN|NL","Without sequence","25.5","",""
"10/01/2015 03:00:00 - 10/01/2015 04:00:00","BZN|NL","Without sequence","25.34","",""
"10/01/2015 04:00:00 - 10/01/2015 05:00:00","BZN|NL","Without sequence","25.24","",""
"10/01/2015 05:00:00 - 10/01/2015 06:00:00","BZN|NL","Without sequence","21.6","",""
"10/01/2015 06:00:00 - 10/01/2015 07:00:00","BZN|NL","Without sequence","20.83","",""
"10/01/2015 07:00:00 - 10/01/2015 08:00:00","BZN|NL","Without sequence","29.39","",""
"10/01/2015 08:00:00 - 10/01/2015 09:00:00","BZN|NL","Without sequence","32.32","",""
"10/01/2015 09:00:00 - 10/01/2015 10:00:00","BZN|NL","Without sequence","39.64","",""
"10/01/2015 10:00:00 - 10/01/2015 11:00:00","BZN|NL","Without sequence","47.01","",""
"10/01/2015 11:00:00 - 10/01/2015 12:00:00","BZN|NL","Without sequence","51.05","",""
"10/01/2015 12:00:00 - 10/01/2015 13:00:00","BZN|NL","Without sequence","52.58","",""
"10/01/2015 13:00:00 - 10/01/2015 14:00:00","BZN|NL","Without sequence","48.61","",""
"10/01/2015 14:00:00 - 10/01/2015 15:00:00","BZN|NL","Without sequence","35.76","",""
"10/01/2015 15:00:00 - 10/01/2015 16:00:00","BZN|NL","Without sequence","36.17","",""
"10/01/2015 16:00:00 - 10/01/2015 17:00:00","BZN|NL","Without sequence","39.94","",""
"10/01/2015 17:00:00 - 10/01/2015 18:00:00","BZN|NL","Without sequence","47.04","",""
"10/01/2015 18:00:00 - 10/01/2015 19:00:00","BZN|NL","Without sequence","59.94","",""
"10/01/2015 19:00:00 - 10/01/2015 20:00:00","BZN|NL","Without sequence","42.0","",""
"10/01/2015 20:00:00 - 10/01/2015 21:00:00","BZN|NL","Without sequence","35.42","",""
"10/01/2015 21:00:00 - 10/01/2015 22:00:00","BZN|NL","Without sequence","35.0","",""
"10/01/2015 22:00:00 - 10/01/2015 23:00:00","BZN|NL","Without sequence","34.96","",""
"10/01/2015 23:00:00 - 11/01/2015 00:00:00","BZN|NL","Without sequence","32.91","",""
"11/01/2015 00:00:00 - 11/01/2015 01:00:00","BZN|NL","Without sequence","26.95","",""
"11/01/2015 01:00:00 - 11/01/2015 02:00:00","BZN|NL","Without sequence","24.22","",""
"11/01/2015 02:00:00 - 11/01/2015 03:00:00","BZN|NL","Without sequence","27.08","",""
"11/01/2015 03:00:00 - 11/01/2015 04:00:00","BZN|NL","Without sequence","23.44","",""
"11/01/2015 04:00:00 - 11/01/2015 05:00:00","BZN|NL","Without sequence","23.56","",""
"11/01/2015 05:00:00 - 11/01/2015 06:00:00","BZN|NL","Without sequence","23.91","",""
"11/01/2015 06:00:00 - 11/01/2015 07:00:00","BZN|NL","Without sequence","23.9","",""
"11/01/2015 07:00:00 - 11/01/2015 08:00:00","BZN|NL","Without sequence","24.32","",""
"11/01/2015 08:00:00 - 11/01/2015 09:00:00","BZN|NL","Without sequence","25.08","",""
"11/01/2015 09:00:00 - 11/01/2015 10:00:00","BZN|NL","Without sequence","25.96","",""
